region,City,County,Type
21903,Perryville,Cecil,Standard
21904,Port Deposit,Cecil,Standard
21911,Rising Sun,Cecil,Standard
21912,Warwick,Cecil,Standard
21913,Cecilton,Cecil,P.O. Box
21914,Charlestown,Cecil,P.O. Box
21915,Chesapeake City,Cecil,Standard
21916,Childs,Cecil,P.O. Box
21917,Colora,Cecil,Standard
21918,Conowingo,Cecil,Standard
21919,Earleville,Cecil,Standard
21920,Elk Mills,Cecil,P.O. Box
21921,Elkton,Cecil,Standard
21922,Elkton,Cecil,P.O. Box
21930,Georgetown,Cecil,P.O. Box
